PDB,pbindaff,Hydrophobic,Vdw,HBond,Ent
1a0q,7.5700,-1.6361,-2.1856,-0.0068,0.2940
1adl,5.3600,-1.2196,-1.7967,-0.0060,0.2940
1alw,6.5200,-0.6707,-0.9696,-0.0051,0.1260
1atl,6.2800,-1.6044,-2.2842,0.0000,0.2940
1awi,4.0500,-1.8270,-3.6726,0.0000,0.2940
1b55,7.4000,-1.0247,-1.5305,-0.0203,0.2940
1cea,4.9600,-0.7857,-0.6764,-0.0077,0.2100
1ceb,6.0000,-0.9995,-0.8622,-0.0066,0.0840
1ct8,6.5200,-1.4397,-2.9301,-0.0012,0.2940
1dl7,6.4900,-1.3574,-1.8098,0.0000,0.2940
1dud,4.8200,-0.1408,-2.0666,-0.0044,0.2940
1dzk,6.1000,-1.0131,-0.6610,0.0000,0.1680
1e3v,4.3400,-1.2349,-1.4243,0.0000,0.1680
1egh,5.7000,-0.8864,-1.1097,-0.0149,0.2100
1eix,11.0600,-1.9452,-2.1041,-0.0153,0.2520
1elr,4.9600,-1.9121,-2.3636,-0.0191,0.2940
1erb,8.1000,-3.2840,-2.5925,0.0000,0.0420
1f4x,5.5900,-1.4292,-1.7862,0.0000,0.2940
1f8a,5.0000,-1.1322,-2.8510,-0.0084,0.2940
1fao,7.3700,-0.6841,-1.8147,-0.0525,0.2940
1fdq,7.2700,-1.2407,-0.9303,-0.0089,0.2940
1fo0,5.5900,-4.5082,-5.9570,-0.0077,0.2940
1fwu,3.7000,-0.4507,-1.3646,-0.0002,0.2940
1fwv,3.7200,-0.4591,-1.0445,-0.0001,0.2940
1fzq,7.6200,-1.4983,-2.5865,-0.0174,0.2940
1gcz,5.1300,-1.6670,-2.0140,0.0000,0.1680
1gny,4.1400,-0.8545,-1.9933,0.0000,0.2940
1gu1,4.5200,-1.0887,-1.3810,-0.0003,0.0420
1gyx,2.4800,-0.6335,-1.0276,-0.0083,0.0000
1gyy,3.6400,-0.7233,-1.1527,-0.0107,0.0420
1h0a,5.4400,0.3431,-1.3745,-0.0680,0.2940
1h1d,8.2200,-0.8917,-1.7466,0.0000,0.2520
1h2t,7.8900,-2.2903,-3.8582,-0.0189,0.2940
1h6h,5.3000,-0.5608,-1.8481,-0.0281,0.2940
1hmr,6.5500,-2.4146,-1.7473,-0.0046,0.2940
1hms,6.3700,-2.1022,-1.7116,-0.0046,0.2940
1hmt,5.7900,-2.2962,-1.7633,-0.0053,0.2940
1i7z,6.4000,-1.8945,-2.5637,0.0000,0.2940
1icj,2.2200,-1.5964,-2.3442,0.0000,0.2940
1igj,10.0000,-1.6398,-2.3605,0.0000,0.2100
1ik4,7.4100,-0.9260,-1.2407,-0.0123,0.2100
1ikt,3.4000,-3.1522,-2.4802,0.0000,0.2940
1imx,3.5200,-0.3999,-1.3567,0.0000,0.2940
1jd5,6.6200,-2.0917,-3.5036,-0.0049,0.2940
1jgl,8.7000,-2.1378,-2.3137,0.0000,0.0000
1jn2,4.0900,0.1523,-0.8618,-0.0037,0.1680
1joc,4.6200,-0.3418,-1.1917,-0.0212,0.2940
1jqy,4.9200,-1.3396,-2.2907,0.0000,0.2940
1kdk,9.0500,-2.0263,-2.3501,0.0000,0.0000
1kel,7.2800,-1.3417,-2.3534,-0.0092,0.2940
1kjr,6.0600,-1.2472,-2.2984,0.0000,0.2940
1kll,5.2000,-0.4798,-1.0769,-0.0051,0.2100
1l83,3.4000,-1.0475,-0.8644,0.0000,0.0000
1lgw,4.0000,-1.2071,-0.8974,0.0000,0.0000
1li2,4.0400,-1.0559,-0.9423,0.0000,0.0000
1li3,4.2500,-1.0509,-0.9989,0.0000,0.0000
1li6,3.8000,-1.2020,-0.6416,0.0000,0.0000
1lke,7.5200,-2.2433,-2.7809,0.0000,0.0420
1lnm,8.7000,-2.1508,-2.7883,0.0000,0.0420
1lrh,6.8200,-1.8741,-1.4126,0.0000,0.0840
1lyb,11.4200,-2.5803,-3.4833,-0.0002,0.2940
1m48,5.0900,-1.7785,-2.2945,-0.0125,0.2940
1m6p,5.1000,-0.6909,-1.1515,-0.0037,0.2100
1mai,6.6800,-0.4298,-1.5049,-0.0402,0.2940
1mfa,5.0400,-0.8901,-1.9150,0.0000,0.2940
1mfd,5.3100,-1.1575,-2.0777,0.0000,0.2940
1mfi,5.5900,-1.5159,-1.4074,-0.0044,0.0420
1mh5,9.2100,-2.5674,-3.0362,-0.0030,0.2940
1mhw,7.3500,-2.0506,-3.6535,-0.0018,0.2940
1mj7,8.3500,-2.3006,-3.1302,-0.0003,0.2940
1mjj,8.7400,-2.6289,-2.9771,-0.0058,0.2940
1mrn,4.5200,-1.1854,-4.2318,-0.0075,0.2940
1mrs,3.9600,-1.6337,-2.6143,-0.0064,0.2940
1n8v,6.0300,-1.6508,-1.3837,0.0000,0.2940
1nf8,7.8200,-1.2371,-1.7673,-0.0159,0.1680
1nu3,4.0000,-1.6347,-0.9750,0.0000,0.2100
1oai,5.0000,-1.6476,-2.2958,-0.0011,0.2940
1oar,7.4000,-1.5645,-2.4819,-0.0006,0.0420
1obx,5.7200,-0.8418,-1.4906,-0.0022,0.2940
1ogx,6.0900,-1.7785,-1.5755,0.0000,0.0000
1oko,4.5400,-0.5229,-1.0956,0.0000,0.0420
1ow4,5.6800,-2.0620,-1.9765,-0.0060,0.1260
1p19,4.1100,-0.2710,-1.0662,-0.0004,0.2520
1p28,5.4200,-0.3976,-0.5289,0.0000,0.0420
1pu7,3.1000,-0.7119,-1.2001,-0.0003,0.0000
1pu8,3.1000,-0.5438,-0.9661,-0.0005,0.0000
1pzi,4.2200,-0.8757,-1.2461,0.0000,0.2520
1qan,4.4800,-1.7225,-2.7164,-0.0079,0.2940
1qaw,5.1200,-1.7647,-1.5220,-0.0005,0.1260
1qft,8.7700,-1.1618,-1.1467,-0.0250,0.0840
1qin,8.0000,-2.1848,-2.7034,-0.0036,0.2940
1qiw,7.7400,-2.5882,-2.6039,-0.0096,0.2940
1qsc,3.6800,-1.3655,-2.9959,-0.0037,0.2940
1qy1,6.5200,-1.6432,-1.0231,0.0000,0.1680
1qy2,5.7400,-1.9174,-0.9885,0.0000,0.1260
1rbp,6.7200,-3.0426,-2.4572,0.0000,0.0420
1rd4,7.7400,-2.4254,-2.8294,0.0000,0.2940
1rdi,2.0600,-0.1585,-0.5302,0.0000,0.0840
1rdj,1.6600,0.0595,-0.4315,0.0000,0.0000
1rdl,2.2400,0.0023,-0.5053,0.0000,0.0420
1rdn,1.8400,-0.4500,-0.6879,0.0000,0.0840
1rql,2.7500,-0.7244,-1.0026,-0.0096,0.0420
1rzx,4.1000,-2.0402,-2.2956,-0.0044,0.2940
1sqn,9.4000,-1.6127,-2.5082,0.0000,0.0420
1sr7,10.1000,-3.8648,-3.7312,0.0000,0.2520
1ucn,5.2200,-0.5425,-1.7542,-0.0350,0.2940
1ugp,2.8900,-0.4818,-0.5402,-0.0029,0.0840
1ugx,5.9100,-0.8608,-1.6547,0.0000,0.2940
1ui0,7.0600,-0.7430,-1.2155,0.0000,0.0000
1ulg,4.2100,0.0649,-1.0644,0.0000,0.2940
1umw,6.5500,-1.0464,-3.0855,-0.0093,0.2940
1ux7,3.0000,-0.3224,-1.0575,0.0000,0.2520
1uxa,2.3000,-0.5031,-1.0646,-0.0035,0.2940
1uxb,2.1500,-0.4847,-1.0757,-0.0043,0.2940
1v1j,4.8200,-1.0738,-1.4851,-0.0005,0.0420
1vyf,8.0500,-1.8892,-1.5605,-0.0064,0.2940
1vyg,8.0000,-2.1278,-2.1736,-0.0105,0.2940
1vyq,5.3000,-1.4331,-2.3926,0.0000,0.2940
1w1d,6.5200,-0.3034,-1.2138,-0.0612,0.2940
1w1g,7.6800,-0.2877,-1.1897,-0.0556,0.2940
1w2g,4.5700,-0.9845,-2.1595,0.0000,0.0840
1w6y,5.3600,-1.2328,-1.4131,0.0000,0.0000
1w8l,0.4900,-0.8809,-1.0220,0.0000,0.0000
1w8m,1.6000,-0.7109,-1.1885,0.0000,0.1680
1wdn,6.3000,-1.2003,-1.2790,-0.0202,0.1680
1wei,9.0000,-0.2838,-0.6894,-0.0079,0.0000
1wht,3.7000,-1.2201,-1.2843,0.0000,0.2100
1ws1,9.5500,-2.1505,-2.5243,0.0000,0.2940
1ws4,3.0000,-0.9575,-1.2939,0.0000,0.1260
1ws5,3.0300,-0.8055,-1.2587,0.0000,0.1260
1x8d,2.2100,-0.8255,-1.1596,0.0000,0.0000
1xk9,6.8500,-1.4270,-1.5122,0.0000,0.1260
1y2f,4.9200,-1.0988,-1.0906,-0.0006,0.2520
1y2g,4.0800,-1.2335,-1.4499,0.0000,0.0840
1yc1,6.1700,-0.9688,-2.4164,-0.0097,0.1260
1yc4,6.5500,-1.3477,-2.1328,-0.0000,0.0840
1ydk,5.8900,-1.8557,-2.0715,-0.0188,0.2940
1yei,7.4600,-2.1172,-2.7965,-0.0029,0.2940
1yej,7.4600,-2.4282,-3.0995,-0.0001,0.2940
1yfz,4.3500,-0.5516,-1.3433,-0.0120,0.2520
220l,3.4000,-1.2670,-0.8037,0.0000,0.0000
2aac,2.2200,-1.0439,-1.4044,0.0000,0.0000
2amt,4.4400,-1.5274,-3.1411,-0.0007,0.2940
2ans,5.9200,-0.9206,-1.6269,-0.0008,0.1260
2bfq,6.8900,-1.9442,-3.9305,-0.0089,0.2940
2bfr,5.2500,-1.4868,-2.8228,-0.0092,0.2940
2bjm,3.7000,-1.1115,-1.7309,0.0000,0.0000
2bmk,5.6200,-1.4129,-1.7928,-0.0001,0.2940
2bmz,3.7000,-0.6428,-1.2319,0.0000,0.2940
2boj,5.7700,-0.5637,-0.9080,0.0000,0.0840
2bt9,6.1900,-0.9265,-1.2895,0.0000,0.0840
2byr,8.5500,-1.9375,-3.6602,0.0000,0.2940
2bys,9.5200,-2.8160,-3.4854,0.0000,0.2520
2c1p,5.4000,-1.2174,-2.5416,0.0000,0.2520
2c4v,2.6000,-1.1122,-0.8477,0.0000,0.2100
2c92,5.6800,-1.2502,-3.4739,-0.0097,0.2940
2c94,6.8200,-1.0035,-3.4881,-0.0114,0.2940
2c97,6.1400,-0.9208,-1.9755,-0.0104,0.2940
2cc7,8.0100,-0.8270,-1.5035,0.0000,0.0000
2ccb,7.4500,-1.1229,-2.0832,0.0000,0.2100
2ccc,7.7600,-0.8785,-1.5790,0.0000,0.0000
2cht,5.5200,-0.9924,-1.5715,-0.0189,0.0840
2fqo,6.4300,-0.9827,-2.1214,-0.0079,0.2940
2fqt,6.1400,-1.1216,-2.0666,-0.0078,0.2940
2fw6,2.9200,-0.9266,-1.5693,0.0000,0.2100
2fwp,2.9200,-0.8451,-1.5421,0.0000,0.2100
2fxv,5.3500,-1.1967,-2.0570,-0.0008,0.2520
2gl0,4.8200,-1.0718,-1.6947,0.0000,0.0840
2gst,6.0700,-1.9259,-2.8197,-0.0140,0.2940
2h6b,5.3900,-1.5707,-1.1665,0.0000,0.0840
2i3h,7.4000,-1.6787,-2.6040,-0.0176,0.2940
2i3i,7.3000,-1.6566,-2.8383,-0.0111,0.2100
2pcp,8.7000,-1.8233,-2.3283,0.0000,0.0840
3gst,6.7200,-2.0230,-2.8751,-0.0064,0.2940
3kiv,4.7000,-0.7921,-0.6472,-0.0125,0.2100
3pcb,2.4000,-1.1754,-0.6313,-0.0008,0.0000
3pcc,3.6200,-1.1560,-0.6586,-0.0004,0.0000
3pcf,6.0500,-1.0805,-0.8911,-0.0006,0.0000
3pcg,2.3000,-1.2916,-0.7643,-0.0006,0.0840
3pck,6.7000,-1.2353,-1.1093,-0.0004,0.0000
3pcn,3.6600,-1.3400,-0.8702,-0.0002,0.0840
